60# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
48.000     0.000
49.000     0.000
50.000     0.000
51.000     0.000
52.000     0.000
53.000     0.000
54.000     0.000
55.000     0.000
56.000     0.000
57.000     0.000
58.000     0.000
59.000     0.000
1350# Number of data
# a b m n rhoa
16 18 24 22 767.192
17 19 25 23 762.691
18 20 26 24 737.634
19 21 27 25 707.389
20 22 28 26 912.048
21 23 29 27 1101.827
22 24 30 28 958.031
23 25 31 29 926.387
24 26 32 30 795.776
25 27 33 31 651.458
26 28 34 32 767.983
27 29 35 33 742.592
28 30 36 34 702.831
29 31 37 35 870.414
30 32 38 36 843.563
31 33 39 37 729.096
32 34 40 38 794.013
33 35 41 39 715.667
34 36 42 40 604.595
35 37 43 41 653.301
36 38 44 42 648.845
37 39 45 43 583.213
38 40 46 44 602.044
39 41 47 45 512.358
40 42 48 46 533.015
41 43 49 47 539.221
42 44 50 48 397.366
43 45 51 49 428.741
44 46 52 50 440.061
45 47 53 51 376.898
46 48 54 52 358.903
47 49 55 53 345.926
48 50 56 54 314.957
49 51 57 55 303.968
50 52 58 56 326.624
51 53 59 57 273.127
52 54 60 58 283.733
1 3 11 9 407.965
2 4 12 10 360.592
3 5 13 11 428.974
4 6 14 12 625.895
5 7 15 13 704.905
6 8 16 14 777.484
7 9 17 15 715.333
8 10 18 16 567.353
9 11 19 17 396.097
10 12 20 18 292.040
11 13 21 19 324.192
12 14 22 20 356.688
13 15 23 21 314.360
14 16 24 22 311.067
15 17 25 23 319.790
16 18 26 24 303.771
17 19 27 25 328.244
18 20 28 26 447.693
19 21 29 27 548.090
20 22 30 28 510.159
21 23 31 29 465.689
22 24 32 30 438.267
23 25 33 31 413.437
24 26 34 32 338.310
25 27 35 33 295.094
26 28 36 34 340.729
27 29 37 35 369.416
28 30 38 36 341.010
29 31 39 37 368.309
30 32 40 38 370.773
31 33 41 39 293.202
32 34 42 40 254.527
33 35 43 41 266.910
34 36 44 42 286.193
35 37 45 43 268.057
36 38 46 44 273.635
37 39 47 45 249.065
38 40 48 46 232.375
39 41 49 47 203.596
40 42 50 48 176.036
41 43 51 49 191.616
42 44 52 50 179.581
43 45 53 51 167.535
44 46 54 52 159.123
45 47 55 53 173.653
46 48 56 54 162.917
47 49 57 55 153.156
48 50 58 56 161.985
49 51 59 57 153.605
50 52 60 58 164.590
1 3 13 11 183.384
2 4 14 12 263.713
3 5 15 13 289.620
4 6 16 14 319.756
5 7 17 15 318.859
6 8 18 16 279.177
7 9 19 17 254.507
8 10 20 18 228.557
9 11 21 19 190.752
10 12 22 20 150.756
11 13 23 21 144.001
12 14 24 22 165.203
13 15 25 23 162.478
14 16 26 24 162.099
15 17 27 25 187.199
16 18 28 26 249.081
17 19 29 27 312.340
18 20 30 28 283.952
19 21 31 29 252.617
20 22 32 30 246.512
21 23 33 31 215.848
22 24 34 32 190.742
23 25 35 33 189.064
