48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a b m n rhoa
12 13 19 18 2104.549
13 14 20 19 1940.134
14 15 21 20 1918.317
15 16 22 21 1911.987
16 17 23 22 1431.104
17 18 24 23 1446.558
18 19 25 24 1407.606
19 20 26 25 1333.780
20 21 27 26 1471.143
21 22 28 27 1302.214
22 23 29 28 999.916
23 24 30 29 1191.919
24 25 31 30 1108.628
25 26 32 31 1152.130
26 27 33 32 1412.973
27 28 34 33 1145.007
28 29 35 34 936.618
29 30 36 35 884.407
30 31 37 36 774.994
31 32 38 37 639.304
32 33 39 38 583.319
33 34 40 39 630.615
34 35 41 40 512.421
35 36 42 41 453.768
36 37 43 42 527.628
37 38 44 43 551.270
38 39 45 44 449.627
39 40 46 45 702.100
40 41 47 46 675.364
41 42 48 47 793.499
1 3 9 7 636.927
2 4 10 8 890.708
3 5 11 9 1181.199
4 6 12 10 1413.219
5 7 13 11 1209.269
6 8 14 12 962.466
7 9 15 13 1274.418
8 10 16 14 1999.257
9 11 17 15 2425.701
10 12 18 16 2509.670
11 13 19 17 2304.078
12 14 20 18 2065.411
13 15 21 19 1968.533
14 16 22 20 1968.248
15 17 23 21 1732.036
16 18 24 22 1409.736
17 19 25 23 1411.746
