51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa
3 5 13 11 223.399
4 6 14 12 238.008
5 7 15 13 222.819
6 8 16 14 214.082
7 9 17 15 240.158
8 10 18 16 235.527
9 11 19 17 247.917
10 12 20 18 254.618
11 13 21 19 221.443
12 14 22 20 233.293
13 15 23 21 234.619
14 16 24 22 230.596
15 17 25 23 265.095
16 18 26 24 278.540
17 19 27 25 253.364
18 20 28 26 208.372
19 21 29 27 224.229
20 22 30 28 251.926
21 23 31 29 195.016
22 24 32 30 192.518
23 25 33 31 232.255
24 26 34 32 235.599
25 27 35 33 201.457
26 28 36 34 188.284
27 29 37 35 232.204
28 30 38 36 229.424
29 31 39 37 208.218
30 32 40 38 214.715
31 33 41 39 248.861
32 34 42 40 264.169
33 35 43 41 202.559
34 36 44 42 188.522
35 37 45 43 201.460
36 38 46 44 184.948
37 39 47 45 175.075
38 40 48 46 161.371
39 41 49 47 216.385
40 42 50 48 292.321
41 43 51 49 239.410
1 3 13 11 214.482
2 4 14 12 197.140
3 5 15 13 194.479
4 6 16 14 222.289
5 7 17 15 223.548
6 8 18 16 217.139
7 9 19 17 237.139
8 10 20 18 212.981
9 11 21 19 195.994
10 12 22 20 232.234
11 13 23 21 223.371
12 14 24 22 210.614
13 15 25 23 240.196
14 16 26 24 264.331
15 17 27 25 255.148
16 18 28 26 237.610
17 19 29 27 261.798
18 20 30 28 239.322
19 21 31 29 183.026
20 22 32 30 197.668
21 23 33 31 211.884
22 24 34 32 205.573
23 25 35 33 219.417
24 26 36 34 229.497
25 27 37 35 213.645
26 28 38 36 205.208
27 29 39 37 256.441
28 30 40 38 237.086
29 31 41 39 219.639
30 32 42 40 241.078
31 33 43 41 203.432
32 34 44 42 183.350
33 35 45 43 188.213
34 36 46 44 170.449
35 37 47 45 153.164
36 38 48 46 148.497
37 39 49 47 181.985
38 40 50 48 231.099
39 41 51 49 265.873
1 3 15 13 186.843
2 4 16 14 184.501
3 5 17 15 194.918
4 6 18 16 224.712
5 7 19 17 220.727
6 8 20 18 194.331
7 9 21 19 189.014
8 10 22 20 197.881
9 11 23 21 195.961
10 12 24 22 209.762
11 13 25 23 233.552
12 14 26 24 241.522
13 15 27 25 231.289
14 16 28 26 224.402
15 17 29 27 263.254
16 18 30 28 272.318
17 19 31 29 214.585
