48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a    b    m    n    rhoa
     7	    22	    12	    17	         599.32
     8	    23	    13	    18	         605.66
     9	    24	    14	    19	         664.79
    10	    25	    15	    20	         760.84
    11	    26	    16	    21	         779.15
    12	    27	    17	    22	         726.53
    13	    28	    18	    23	         645.00
    14	    29	    19	    24	         601.33
    15	    30	    20	    25	         565.97
    16	    31	    21	    26	         549.49
    17	    32	    22	    27	         551.87
    18	    33	    23	    28	         566.18
    19	    34	    24	    29	         565.48
    20	    35	    25	    30	         569.20
    21	    36	    26	    31	         564.87
    22	    37	    27	    32	         509.99
    23	    38	    28	    33	         457.44
    24	    39	    29	    34	         444.52
    25	    40	    30	    35	         406.15
    26	    41	    31	    36	         384.84
    27	    42	    32	    37	         382.78
    28	    43	    33	    38	         349.70
    29	    44	    34	    39	         315.82
    30	    45	    35	    40	         322.95
    31	    46	    36	    41	         325.36
    32	    47	    37	    42	         326.74
    33	    48	    38	    43	         351.41
     1	    19	     7	    13	         422.66
     2	    20	     8	    14	         456.66
     3	    21	     9	    15	         470.57
     4	    22	    10	    16	         479.88
     5	    23	    11	    17	         523.37
     6	    24	    12	    18	         538.25
     7	    25	    13	    19	         534.16
     8	    26	    14	    20	         525.55
     9	    27	    15	    21	         528.77
    10	    28	    16	    22	         535.57
    11	    29	    17	    23	         504.15
    12	    30	    18	    24	         480.90
    13	    31	    19	    25	         448.60
    14	    32	    20	    26	         430.16
    15	    33	    21	    27	         410.93
    16	    34	    22	    28	         412.81
    17	    35	    23	    29	         436.84
    18	    36	    24	    30	         464.44
    19	    37	    25	    31	         486.67
    20	    38	    26	    32	         485.85
    21	    39	    27	    33	         465.65
    22	    40	    28	    34	         411.77
    23	    41	    29	    35	         376.52
    24	    42	    30	    36	         349.57
    25	    43	    31	    37	         323.63
    26	    44	    32	    38	         309.71
    27	    45	    33	    39	         286.79
    28	    46	    34	    40	         286.70
    29	    47	    35	    41	         274.90
    30	    48	    36	    42	         276.95
     1	    22	     8	    15	         342.78
     2	    23	     9	    16	         396.99
     3	    24	    10	    17	         427.26
     4	    25	    11	    18	         444.31
     5	    26	    12	    19	         449.59
     6	    27	    13	    20	         429.17
     7	    28	    14	    21	         386.52
     8	    29	    15	    22	         354.53
     9	    30	    16	    23	         337.23
    10	    31	    17	    24	         348.58
    11	    32	    18	    25	         340.35
    12	    33	    19	    26	         325.04
    13	    34	    20	    27	         320.99
    14	    35	    21	    28	         312.33
    15	    36	    22	    29	         311.00
    16	    37	    23	    30	         351.68
    17	    38	    24	    31	         386.07
    18	    39	    25	    32	         410.69
    19	    40	    26	    33	         426.68
    20	    41	    27	    34	         403.16
    21	    42	    28	    35	         369.83
    22	    43	    29	    36	         336.80
    23	    44	    30	    37	         296.71
    24	    45	    31	    38	         280.15
    25	    46	    32	    39	         260.64
    26	    47	    33	    40	         246.53
    27	    48	    34	    41	         237.31
